company_name,url,description,founders,funding_info,latest_funding_date,total_funding,key_investors,location,headquarters,social_links,success
Cleerly,https://www.cleerlyhealth.com,"Uses AI and advanced imaging to enable personalized precision heart health diagnostics and care, focusing on cardiovascular disease prevention and management[5][1].",James K. Min,"[{'round': 'Series A', 'amount': '$14.5 million', 'lead_investors': 'Not publicly disclosed', 'year': '2017'}, {'round': 'Series B', 'amount': '$43 million', 'lead_investors': 'Vensana Capital', 'year': '2021'}, {'round': 'Series C', 'amount': '$223 million', 'lead_investors': 'Fidelity, T. Rowe Price', 'year': '2022'}, {'round': 'Series C Extension', 'amount': '$106 million', 'lead_investors': 'Insight Partners', 'year': '2024'}]",2024-12,$386.5 million,"Insight Partners, Battery Ventures, Fidelity, T. Rowe Price, Vensana Capital, LRVHealth, New Leaf Venture Partners, DigiTx Partners, American College of Cardiology, Cigna Ventures","Denver, CO","1099 18th St #2860, Denver, Colorado, United States","linkedin: Not found, crunchbase: Not found",Yes
"Project Canary, PBC",https://www.projectcanary.com,"Provides environmental data and emissions monitoring solutions for the energy industry, helping companies meet ESG goals and regulatory requirements[5][1].","William Foiles, Chris Romer","[{'round': 'Series A', 'amount': 'Undisclosed', 'lead_investor': 'Not specified', 'year': 'Pre-2022'}, {'round': 'Series B', 'amount': '$111 million', 'lead_investor': 'Insight Partners', 'year': '2022-02'}]",2022-02,Not found,"Insight Partners, Brookfield Growth, Canada Pension Plan Investment Board, Carica Sustainable Investments, Quantum Energy Partners, Energy Impact Partners, Frontier Venture Capital","Denver, CO","1200 17th St, Floor 26, Denver, CO 80202","linkedin: Not found, crunchbase: Not found",Yes
AidKit,https://www.aidkit.com,"Builds software to help organizations deliver aid efficiently and with dignity, specializing in direct cash assistance and benefits distribution[5][1].","Katrina Van Gasse, Brittany Christenson, Mark A. Newhouse","Series A, $8.5 million, Blueprint Equity, March 2025",2025-03,$8.5 million,Blueprint Equity,"Denver, CO","2000 S. Colorado Blvd., Bldg. 1–2000, #177, Denver, CO 80222, United States","facebook: https://www.facebook.com/watch/live/?ref=watch_permalink&v=795365885809160, linkedin: https://www.linkedin.com/company/aidkit/, crunchbase: https://www.crunchbase.com/organization/aidkit",Yes
Travertine,https://www.travertine.tech,"Focuses on clean energy and carbon removal technologies, developing scalable solutions for industrial decarbonization[5][1].","Laura Lammers, Owen Cadwalader","[{'round': 'Seed', 'amount': '$3 million', 'lead_investors': ['Grantham Environmental Trust', 'Clean Energy Ventures'], 'year': 2022}, {'round': 'Subsequent', 'amount': '$8.5 million', 'lead_investors': ['Holcim MAQER Ventures'], 'year': 'Not specified'}]",Not specified,$11 million,"Grantham Environmental Trust, Clean Energy Ventures, Holcim MAQER Ventures, Bidra Innovation Ventures","Boulder, CO","1900 55th Street, Suite A-105, Boulder, Colorado, 80301","linkedin: Not found, crunchbase: Not found",Yes
Nexo Therapeutics,https://www.nexotx.com,"Biotech company developing targeted therapies for cancer and other serious diseases, leveraging advanced drug discovery platforms[5][1].","Andrew Phillips, Ph.D., Michael Kim, Ph.D., Rhamy Zeid, Ph.D., John Athanasopoulos","[{'round': 'Series A', 'amount': '$60 million', 'lead_investor': 'Versant Ventures', 'year': '2023'}]",2023-07,$112.5 million,"Versant Ventures, New Enterprise Associates, Cormorant Asset Management","Littleton, CO","11757 West Ken Caryl Avenue, Suite F, 520, Littleton, Colorado 80127","linkedin: Not found, crunchbase: Not found",Yes
Proof Technology,https://www.proofserve.com,"Provides a nationwide platform for legal service of process, offering transparency and verification for legal document delivery[5][1].",Pat Kinsel,"[{'round': 'Pre-Series', 'amount': '$850,000', 'lead_investor': 'Not specified', 'year': 'Not specified'}, {'round': 'Pre-Series', 'amount': '$16.7M', 'lead_investor': 'Not specified', 'year': 'Not specified'}, {'round': 'Series B', 'amount': '$30.4M', 'lead_investor': 'Long Ridge Equity Partners', 'year': '2024'}]",2024-01,$37.8M,"Long Ridge Equity Partners, Blue Heron Capital, The LegalTech Fund","Denver, CO","1800 Gaylord St, Denver, Colorado, 80206, United States","linkedin: Not found, crunchbase: Not found",Yes
Quadratic,https://www.quadratic.to,"Develops collaborative data tools and spreadsheet software for teams, enabling real-time data analysis and workflow automation[5][1].","David Kircos, Peter Mills","Seed, $5.6 million, GV (Google Ventures), 2022",2022,$5.6 million,GV (Google Ventures),"Boulder, CO",Not found,"linkedin: Not found, crunchbase: Not found",Yes
JumpCloud,https://jumpcloud.com,"Provides a cloud directory platform for secure identity, access, and device management for organizations, enabling IT teams to manage user authentication and security across devices and applications[5","Rajat Bhargava, Greg Keller","[{'round': 'Seed', 'amount': '$1.2M', 'year': '2012'}, {'round': 'Series A', 'amount': '$3M', 'year': '2014', 'lead_investor': 'Techstars'}, {'round': 'Series B', 'amount': '$4.3M', 'year': '2016', 'lead_investor': 'Ridge Ventures'}, {'round': 'Series C', 'amount': '$20M', 'year': '2017', 'lead_investors': ['Foundry Group', 'OpenView']}, {'round': 'Debt Financing', 'amount': '$10M', 'year': '2018', 'lead_investor': 'Comerica Incorporated'}, {'round': 'Series D', 'amount': '$50M', 'year': '2019'}, {'round': 'Series E', 'amount': '$75M', 'year': '2020', 'lead_investor': 'BlackRock Innovation Capital'}, {'round': 'Series E (extension)', 'amount': '$25M', 'year': '2021', 'lead_investor': 'BlackRock Innovation Capital'}, {'round': 'Series F', 'amount': '$159M', 'year': '2021', 'lead_investors': ['Sapphire Ventures', 'Owl Rock', 'Whale Rock Capital', 'Sands Capital', 'Endeavor Catalyst', 'General Atlantic', 'BlackRock', 'H.I.G. Growth Partners']}, {'round': 'Series F (extension)', 'amount': '$66M', 'year': '2021', 'lead_investors': ['Atlassian Ventures', 'CrowdStrike Falcon Fund', 'NTT Docomo Ventures', 'STEADFAST Capital Ventures', 'Waterman Ventures', 'OurCrowd']}]",2021-10,$400M,"Sapphire Ventures, Atlassian Ventures, CrowdStrike Falcon Fund, BlackRock Innovation Capital, General Atlantic, Whale Rock Capital, Owl Rock, Sands Capital, Endeavor Catalyst, Foundry Group, OpenView, Ridge Ventures, Techstars","Louisville, CO","361 Centennial Pkwy, Suite 300, Louisville, CO 80027","linkedin: Not found, crunchbase: Not found",Yes
BillGO,https://billgo.com,"Offers a real-time bill payments platform designed to modernize bill payments for financial institutions, fintechs, and consumers, improving speed and transparency[3].","Dan Holt, Scott Miller, Kelly Seidl","[{'round': 'Series C', 'amount': 'Undisclosed', 'lead_investors': ['USAA Ventures', 'Commerce Ventures', 'Pete Kight'], 'year': 2023}, {'round': 'Series B-II', 'amount': 'Undisclosed', 'lead_investors': ['USAA Ventures'], 'year': 2020}, {'round': 'Series B', 'amount': 'Undisclosed', 'lead_investors': ['USAA Ventures'], 'year': 2019}, {'round': 'Series A', 'amount': 'Undisclosed', 'lead_investors': ['USAA Ventures'], 'year': 2018}, {'round': 'Option/Warrant', 'amount': '$2.5M', 'lead_investors': ['Undisclosed'], 'year': '2024-01'}]",2024-01,$143.5 million,"USAA Ventures, Commerce Ventures, Cohen Circle, Next Coast Ventures, Pete Kight, MVB Bank, BankTech Ventures, Capital One","Fort Collins, CO","3003 E Harmony Road, 5th Floor, Fort Collins, CO 80528, United States","twitter: https://twitter.com/BillGOPayments, linkedin: https://www.linkedin.com/company/billgopayments, crunchbase: Not found",Yes
Arryved,https://www.arryved.com,"Delivers a point-of-sale and guest experience platform tailored for craft beverage and hospitality businesses, streamlining operations and customer engagement[1].","Tom Wrensch, David Norman","[{'round': 'Series B', 'amount': '$20 million', 'lead_investors': ['Tribe Capital', 'Foundry Group'], 'year': '2023'}, {'round': 'Debt Round', 'amount': 'Not specified', 'lead_investors': 'Not specified', 'year': '2020'}, {'round': 'Private Equity Round', 'amount': 'Not specified', 'lead_investors': 'Not specified', 'year': '2017'}, {'round': 'Unspecified Round', 'amount': 'Not specified', 'lead_investors': 'Not specified', 'year': '2021'}]",2023,$20 million,"Tribe Capital, Foundry Group","Boulder, CO","3002 Sterling Circle, Suite 100, Boulder, Colorado 80301, United States","linkedin: Not found, crunchbase: Not found",Yes
Guild Education,https://www.guild.com,"Partners with employers to provide education benefits and upskilling opportunities for employees, helping companies attract and retain talent while advancing workforce education[1].","Rachel Romer, Brittany Stich, Chris Romer","[{'round': 'Series A', 'amount': '$8.5 million', 'lead_investor': 'Redpoint Ventures', 'year': 2016}, {'round': 'Series B', 'amount': '$21 million', 'lead_investor': 'Bessemer Venture Partners', 'year': 2017}, {'round': 'Series C', 'amount': '$40 million', 'lead_investor': 'Felicis Ventures', 'year': 2018}]",2018-07,$69.5 million,"Redpoint Ventures, Social Capital, Harrison Metal, Cowboy Ventures, Bessemer Venture Partners, Felicis Ventures, Salesforce Ventures, Workday Ventures, Silicon Valley Bank, Rethink Impact & Education","Denver, CO","370 17th Street, Suite 300, Denver, Colorado 80202, United States","linkedin: Not found, crunchbase: Not found",Yes
SonderMind,https://sondermind.com,"Connects individuals with licensed therapists and mental health professionals, offering accessible and personalized mental health care solutions[1].","Mark Frank, Sean Boyd","[{'round': 'Seed', 'amount': '$2.5 million', 'lead_investor': 'Kickstart', 'year': '2018'}, {'round': 'Series A', 'amount': '$3 million', 'lead_investor': 'Dioko Ventures', 'year': '2019'}, {'round': 'Series B', 'amount': '$27 million', 'lead_investor': 'General Catalyst', 'year': '2020'}, {'round': 'Series C', 'amount': '$150 million', 'lead_investors': ['Drive Capital', 'Premji Invest'], 'year': '2021'}]",2021-07,$183 million,"Kickstart, Dioko Ventures, General Catalyst, Drive Capital, Premji Invest, F-Prime Capital, Smash Ventures, Partners Group, Founders Circle Capital, Zoma Foundation, FCA Venture Partners","Denver, CO","1099 18th Street, Suite 2350, Denver, CO 80202","facebook: https://www.facebook.com/SonderMind/, instagram: https://www.instagram.com/sondermind/, linkedin: https://www.linkedin.com/company/sondermind/, youtube: https://www.youtube.com/channel/UCSKDPvHeP-30S21iPnQ9Oxw, crunchbase: https://www.crunchbase.com/organization/sondermind",Yes
DispatchHealth,https://www.dispatchhealth.com,"Provides in-home medical care, delivering urgent and acute healthcare services directly to patients’ homes to reduce ER visits and improve outcomes[1].","Dr. Mark Prather, Kevin Riddleberger, PA-C, MBA","[{'round': 'Series A', 'amount': '$32 million', 'lead_investors': ['Alta Partners', 'Questa Capital', 'US Acute Care Solutions'], 'year': 2017}, {'round': 'Series B', 'amount': '$33 million', 'lead_investors': ['Echo Health Ventures', 'Questa Capital', 'Alta Partners'], 'year': 2019}, {'round': 'Series C', 'amount': '$135.8 million', 'lead_investors': ['Optum Ventures'], 'other_investors': ['Alta Partners', 'Echo Health Ventures', 'Oak HC/FT', 'Humana'], 'year': 2020}, {'round': 'Series D', 'amount': '$200 million', 'lead_investors': ['Tiger Global Management'], 'other_investors': ['Alta Partners', 'Echo Health Ventures', 'Humana', 'Oak HC/FT', 'Questa Capital'], 'year': 2021}, {'round': 'Series E', 'amount': '$259 million', 'lead_investors': ['Optum Ventures'], 'other_investors': ['Adams Street Partners', 'Blue Shield of California', 'Echo Health Ventures', 'Humana', 'Oak HC/FT', 'Olayan Group', 'Pegasus Tech Ventures', 'Questa Capital'], 'year': 2022}]",2022-11,$740 million,"Optum Ventures, Echo Health Ventures, Humana, Alta Partners, Tiger Global Management, Oak HC/FT, Adams Street Partners, Blue Shield of California, Olayan Group, Pegasus Tech Ventures, Questa Capital","Denver, CO","3455 Ringsby Ct, Suite 101-C, Denver, Colorado, 80216","linkedin: https://www.linkedin.com/company/dispatchhealth, crunchbase: https://www.crunchbase.com/organization/dispatchhealth",Yes
StackHawk,https://www.stackhawk.com,"Delivers automated application security testing for developers, enabling teams to find and fix security vulnerabilities in code before deployment[1].","Joni Klippert, Scott Gerlach, Ryan Severns","[{'round': 'Series A', 'amount': '$10 million', 'lead_investors': ['Sapphire Ventures'], 'year': '2020'}, {'round': 'Series B', 'amount': '$20.7 million', 'lead_investors': ['Sapphire Ventures', 'Costanoa Ventures'], 'year': '2022'}, {'round': 'Series B-II', 'amount': '$12 million', 'lead_investors': ['Sapphire Ventures', 'Costanoa Ventures'], 'year': '2025'}]",2025-05,$47.3 million,"Sapphire Ventures, Costanoa Ventures, Foundry Group, Flybridge Capital, Matchstick Ventures","Denver, CO","1580 North Logan Street, Suite 660, Denver, Colorado, 80203, United States","linkedin: Not found, crunchbase: Not found",Yes
Outrider,https://outrider.ai,"Develops autonomous yard operations technology for logistics hubs, automating the movement of trailers and containers to improve efficiency and safety[1].",Andrew Smith,"{'Seed': {'amount': '$8.5 million', 'lead_investor': 'New Enterprise Associates (NEA)', 'year': '2020'}, 'Series A': {'amount': '$44.5 million', 'lead_investor': '8VC', 'year': '2020'}, 'Series B': {'amount': '$65 million', 'lead_investor': 'Koch Disruptive Technologies (KDT)', 'year': '2020'}, 'Series C': {'amount': '$73 million', 'lead_investor': 'FM Capital', 'new_investors': ['Abu Dhabi Investment Authority (ADIA)', 'NVentures (NVIDIA’s venture capital arm)', 'B37 Ventures', 'Lineage Ventures (Lineage Logistics)', 'Presidio Ventures (Sumitomo Corporation)', 'ROBO Global Ventures'], 'existing_investors': ['Koch Disruptive Technologies (KDT)', 'New Enterprise Associates (NEA)'], 'year': '2023'}, 'Series D': {'amount': '$62 million', 'lead_investors': ['Koch Disruptive Technologies (KDT)', 'New Enterprise Associates (NEA)'], 'additional_investors': ['8VC', 'ARK Invest', 'B37 Ventures', 'FM Capital', 'Interwoven Ventures', 'NVentures (NVIDIA)', 'Prologis Ventures'], 'year': '2024'}}",2024-10,$253 million,"Koch Disruptive Technologies (KDT), New Enterprise Associates (NEA), 8VC, FM Capital, NVentures (NVIDIA), Abu Dhabi Investment Authority (ADIA), B37 Ventures, Lineage Ventures, Presidio Ventures (Sumitomo Corporation), ROBO Global Ventures, ARK Invest, Interwoven Ventures, Prologis Ventures","Brighton, CO","22600 East I-76 Frontage Road, Suite 200, Brighton, Colorado, 80603, United States","linkedin: Not found, crunchbase: Not found",Yes
Redaptive,https://redaptive.com,"Provides energy-as-a-service solutions, helping organizations implement energy efficiency and renewable energy projects with no upfront capital expenditure[1].","Arvin Vohra, John Rhow, Ryan Martineau","[{'round': 'Debt Financing', 'amount': '$15M', 'lead_investor': 'Not disclosed', 'year': '2015'}, {'round': 'Venture Round', 'amount': '$20M', 'lead_investor': 'Not disclosed', 'year': '2018'}, {'round': 'Series C', 'amount': '$156.5M', 'lead_investor': 'AB CarVal Investors', 'year': '2020'}, {'round': 'Series E', 'amount': '$200M', 'lead_investor': 'CPP Investments', 'year': '2022'}, {'round': 'Corporate Round', 'amount': 'Not disclosed', 'lead_investor': 'Honeywell', 'year': '2023'}, {'round': 'Series E (additional)', 'amount': '$50M', 'lead_investor': 'Linse Capital', 'year': '2023'}, {'round': 'Debt Financing', 'amount': '$250M', 'lead_investor': 'Deutsche Bank', 'year': '2023'}, {'round': 'Debt Financing', 'amount': '$225M', 'lead_investor': 'ATLAS SP Partners', 'year': '2024'}, {'round': 'Private Equity', 'amount': '$100M', 'lead_investor': 'CPP Investments', 'year': '2024'}, {'round': 'Debt Financing', 'amount': '$650M', 'lead_investor': 'Not disclosed', 'year': '2025'}]",2025-05,$1.0165 billion,"AB CarVal Investors, CPP Investments, Linse Capital, Honeywell, Deutsche Bank, ATLAS SP Partners","Denver, CO","1601 19th Street, 8th Floor, Denver, Colorado 80202","linkedin: https://www.linkedin.com/company/redaptive-inc/, crunchbase: Not found",Yes
Pax8,https://www.pax8.com,"Pax8 is a cloud commerce marketplace simplifying the buying, selling, and managing of cloud solutions for managed service providers. John Street is the founder and CEO[5].","John Street, Scott Chasin","[{'round': 'Pre-Seed', 'amount': '$520K', 'year': '2011', 'lead_investors': 'Not disclosed'}, {'round': 'Venture', 'amount': '$5.1M', 'year': '2014', 'lead_investors': 'FirstMile Ventures'}, {'round': 'Series B', 'amount': '$96M', 'year': 'Not specified', 'lead_investors': 'Not specified'}, {'round': 'Series C', 'amount': '$185M', 'year': '2022', 'lead_investors': 'SoftBank Vision Fund 2, Catalyst Investors, Sageview Capital, Blue Cloud Ventures, Liberty Global Ventures'}]",2022-04,$395.5M,"SoftBank Vision Fund 2, Catalyst Investors, Sageview Capital, Blue Cloud Ventures, Liberty Global Ventures","Greenwood Village, CO","6363 S. Fiddlers Green Circle, Suite 1100, Greenwood Village, CO 80111","linkedin: Not found, crunchbase: Not found",Yes
Everside Health,https://www.eversidehealth.com,Everside Health offers direct primary care and onsite/near-site health clinics for employers. Acquired Marathon Health in 2024. Dan Caruso is a board member; founder details are public via Endeavor Co,Not found,"[{'round': 'Growth Equity', 'amount': '$164M', 'lead_investors': ['New Enterprise Associates (NEA)'], 'year': '2022'}]",2022-07,Not found,"New Enterprise Associates (NEA), Oak HC/FT, Alta Partners, Endeavor Catalyst","Denver, CO","1400 Wewatta Street, Suite 350, Denver, Colorado 80202","linkedin: Not found, crunchbase: Not found",Yes
