company_name,url,description,founders,location_city,location_state,location,headquarters,linkedin_url,crunchbase_url,total_funding_normalized,total_funding,num_funding_rounds,funding_stage_progression,latest_round,latest_round_amount,latest_round_date,latest_funding_date,years_since_last_funding,total_investor_count,lead_investors,all_investors,key_investors,notable_tier1_investors,has_colorado_investors,industry_categories,business_model,company_stage,technology_focus,target_market,colorado_connection
Altia,https://www.altia.com,"Provides graphical user interface (GUI) development tools for embedded systems, founded by engineers and backed by investors; serves automotive and medical device industries[4].","Mike Juran, Tom Walton",Colorado Springs,CO,"Colorado Springs, CO","111 S. Tejon Street, Suite 204, Colorado Springs, Colorado 80903, United States",https://www.linkedin.com/company/altia-inc/,https://www.crunchbase.com/organization/altia,$2.3M,$2.3 million,2,Unknown,Unknown,Unknown,2022-08,2022-08,3,0,,,,,No,"Automotive, Medical Devices, Software",B2B Software,Early Growth,"Embedded Systems, GUI Development",Enterprise,High
Altira Group,https://www.altiragroup.com,"Venture capital firm specializing in technology and software companies driving enterprise digital transformation, with a strong focus on energy technology[3].",Dirk McDermott,Denver,CO,"Denver, CO","205 Detroit Street, Suite 200, Denver, CO 80206",,,$1B+,$1 Billion+,5,Series A → Series B → Series C,Series B,$36M,2025-06,2025-06,0,4,Altira Group,"Altira Group, Chevron Technology Ventures, Saudi Aramco Energy Ventures, Cisco Investments, Insight Partners","Chevron Technology Ventures, Saudi Aramco Energy Ventures, Cisco Investments, Insight Partners",,No,"Energy Technology, Software, Digital Transformation",B2B SaaS,Growth,"CleanTech, Software",Enterprise,High
AMP Robotics,https://www.amprobotics.com,"Robotics and AI company based in Longmont, specializing in intelligent recycling systems using computer vision and machine learning, with multiple funding rounds and rapid scaling[8].",Matanya Horowitz,Louisville,CO,"Louisville, CO","1875 Taylor Avenue, Louisville, Colorado, 80027, United States",,,$266M,$266 million,4,Series A → Series B → Series C → Series D,Series D,$91M,2024,2024,1,10,"Congruent Ventures, Wellington Management, Sequoia Capital, XN","Sequoia Capital, XN, Congruent Ventures, Wellington Management, GV (Google Ventures), Valor Equity Partners, Blue Earth Capital, Tao Capital Partners, Range Ventures, Liberty Mutual Investments, California State Teachers Retirement System (CalSTRS)","Sequoia Capital, XN, Congruent Ventures, Wellington Management, GV (Google Ventures), Valor Equity Partners, Blue Earth Capital, Tao Capital Partners, Range Ventures, Liberty Mutual Investments, California State Teachers Retirement System (CalSTRS)",Sequoia Capital,No,"Robotics, AI, CleanTech, Recycling",B2B SaaS,Growth,"AI/ML, Robotics","Government, Waste Management",High
Ampersand,https://www.ampersand.energy,"Provides AI-driven energy management solutions for commercial buildings, leveraging advanced data science and IoT. Founded in 2021 in Colorado, Ampersand has secured venture funding for its deep tech ",Not found,Unknown,CO,Not found,Not found,,,Unknown,Not found,0,Unknown,Unknown,Unknown,Unknown,Not found,-1,0,,,,,No,"Energy Management, AI, IoT",B2B SaaS,Early Growth,"AI, CleanTech",Commercial Buildings,High
AOA Dx,https://aoadx.com,"Develops cancer diagnostics, focusing on early detection of ovarian cancer; raised Series B funding in 2023[5].","Oriana Papin‑Zoghbi, Anna Jeter, Alex Fisher",Denver,CO,"Denver, CO","6860 Broadway, Unit B, Denver, CO 80221, United States",,,$24.7M,$24.7 million,3,Pre-seed → Seed → Later financing,Later financing,$17.2M,2023-07,2023-07,2,9,"Joyance Partners, Avestria Ventures, Good Growth Capital","Joyance Partners, Avestria Ventures, Good Growth Capital, Y Combinator, AlleyCorp, RH Capital, Olive Tree Capital, The Helm, Labcorp Venture Fund","Joyance Partners, Avestria Ventures, Good Growth Capital, Y Combinator, AlleyCorp, RH Capital, Olive Tree Capital, The Helm, Labcorp Venture Fund",,No,"Biotech, Healthcare, Diagnostics",B2B Healthcare,Early Growth,"Biotech, AI/ML",Healthcare Providers,High
AppIt Ventures,https://www.appitventures.com,Custom software development firm; consistently growing and serving a diverse client base[4].,"Rob Carpenter, Jeff Macco",Denver,CO,"Denver, CO","1800 Wazee Street, Suite 331, Denver, Colorado, 80202, United States",https://www.linkedin.com/company/appit-ventures,https://www.crunchbase.com/organization/appit-ventures,Unknown,Not found,1,Seed,Seed,Unknown,2014-01,2014-01,11,2,"Cambiar Investors, H. Leigh Severance","Cambiar Investors, H. Leigh Severance","Cambiar Investors, H. Leigh Severance",,Yes,"Software Development, Mobile Apps, Web Apps",B2B SaaS,Seed,Custom Software Development,"Enterprise, SMB",High
Arryved,https://www.arryved.com,"Delivers a point-of-sale and guest experience platform tailored for craft beverage and hospitality businesses, streamlining operations and customer engagement[1].","Tom Wrensch, David Norman",Boulder,CO,"Boulder, CO","3002 Sterling Circle, Suite 100, Boulder, Colorado 80301, United States",,,$20M,$20 million,4,Debt Round → Private Equity Round → Unspecified Round → Series B,Series B,$20M,2023,2023,2,2,"Tribe Capital, Foundry Group","Tribe Capital, Foundry Group","Tribe Capital, Foundry Group",,Yes,"Hospitality, Beverage, SaaS",B2B SaaS,Growth,"Point-of-Sale, Guest Experience","Hospitality, Craft Beverage",High
Arzeda,https://www.arzeda.com,"Boulder-based biotechnology and software company designing custom microorganisms for industrial applications through computational enzyme design, raised $72.2M across 5 funding rounds",David Baker,Boulder,CO,"Boulder, CO",Not found,,,$72.2M,$72.2M,2,Seed → Series A,Series A,$38M,2025,2025,0,0,Not found,Not found,,,No,"Biotechnology, Software, Industrial Applications",B2B,Early Growth,"Biotech, Computational Design",Industrial,High
Ascent Deep Tech Accelerator (Venture Partners at CU Boulder),https://www.colorado.edu/venturepartners/opportunities-and-events/ascent-deep-tech-accelerator,"Accelerator supporting research teams and deep tech startups from University of Colorado campuses, helping them commercialize engineering and scientific innovations[3].",Not applicable,Boulder,CO,"Boulder, CO","4845 Pearl East Circle, Suite 300, Boulder, CO 80301",https://www.linkedin.com/in/jianliang-xiao-03614671/,,$61M,$61 million,0,Unknown,Unknown,Unknown,Unknown,Not found,-1,4,"Hatch Spaces LLC, Holland & Hart LLP, Richtr Financial Studio, Wilson Sonsini Goodrich & Rosati","Hatch Spaces LLC, Holland & Hart LLP, Richtr Financial Studio, Wilson Sonsini Goodrich & Rosati","Hatch Spaces LLC, Holland & Hart LLP, Richtr Financial Studio, Wilson Sonsini Goodrich & Rosati",,Yes,"Deep Tech, Accelerator, Education",Accelerator,Early Growth,"Engineering, Scientific Innovations","Startups, Research Teams",High
Ascent360,https://ascent360.com,"Cloud-based customer data platform for marketers to unify, analyze, and activate customer data[1][11].","Scott Buelter, Karen Buelter",Golden,CO,"Golden, CO","651 Corporate Circle, Suite 204A, Golden, Colorado, 80401, United States",,,$6M,$6 million,2,Seed → Series A,Series A,$4.1M,2019,2019,6,4,"Fulcrum Equity Partners, Access Venture Partners, Nelnet","Access Venture Partners, Nelnet, Bialla, Fulcrum Equity Partners","Fulcrum Equity Partners, Access Venture Partners, Nelnet, Bialla",,Yes,"Marketing Technology, SaaS, Customer Data Platforms",B2B SaaS,Early Growth,"Data Analytics, Marketing Automation",B2C Companies,High
Automox,https://www.automox.com,"Delivers cloud-native IT operations and endpoint management solutions; headquartered in Boulder, Colorado, with significant venture backing[3][7][15].",Jay Prassl,Boulder,CO,"Boulder, CO","1606 Headway Cir #9043, Austin, TX 78754, United States",https://www.linkedin.com/company/automox/,,$152.95M,$152.95 million,2,Series A → Series C,Series C,$110M,2021-04,2021-04,4,6,"TechOperators, Insight Partners","TechOperators, Insight Partners, Blackstone, Koch Disruptive Technologies, CRV, BlueNote Ventures","TechOperators, Insight Partners, Blackstone, Koch Disruptive Technologies, CRV, BlueNote Ventures",,Yes,"IT Operations, Endpoint Management, SaaS",B2B SaaS,Growth,Cloud-native solutions,Enterprise,High
Beemmunity,https://beemmunity.com,Develops solutions to protect bees from pesticides using ingestible micro-particles; raised Series B funding[13].,James Webb,Boulder,CO,"Boulder, United States",Not found,,,Unknown,Not found,1,Series B,Series B,Unknown,Unknown,Not found,-1,1,SOSV,SOSV,SOSV,,Yes,"Agriculture, Biotech, Environmental",B2B,Early Growth,"CleanTech, Biotech",Agriculture,High
BillGO,https://billgo.com,"Offers a real-time bill payments platform designed to modernize bill payments for financial institutions, fintechs, and consumers, improving speed and transparency[3].","Dan Holt, Scott Miller, Kelly Seidl",Fort Collins,CO,"Fort Collins, CO","3003 E Harmony Road, 5th Floor, Fort Collins, CO 80528, United States",https://www.linkedin.com/company/billgopayments,,$143.5M,$143.5 million,5,Series A → Series B → Series B-II → Series C,Series C,Undisclosed,2024-01,2024-01,1,8,"USAA Ventures, Commerce Ventures, Pete Kight","USAA Ventures, Commerce Ventures, Cohen Circle, Next Coast Ventures, Pete Kight, MVB Bank, BankTech Ventures, Capital One","USAA Ventures, Commerce Ventures, Cohen Circle, Next Coast Ventures, Pete Kight, MVB Bank, BankTech Ventures, Capital One",,No,"FinTech, Payments, SaaS",B2B SaaS,Growth,FinTech,"Financial Institutions, SMB",High
BillingPlatform,https://billingplatform.com,"Provides cloud-based billing and revenue management software for enterprises, supporting complex billing models and automation[1][3][5].","Nathan Shinn, Leonid Solomonik",Englewood,CO,"Englewood, CO","10333 E Dry Creek Road, Suite 150, Englewood, CO 80112, United States",,,$104M,$104M,3,Series A → Series B → Growth Equity,Growth Equity,$90M,2024-01,2024-01,1,2,"Columbia Capital, FTV Capital","Columbia Capital, FTV Capital","Columbia Capital, FTV Capital",,No,"SaaS, Billing, Revenue Management",B2B SaaS,Growth,"Cloud Computing, Automation",Enterprise,High
Biodesix,https://www.biodesix.com,"Provides diagnostic solutions for lung disease, including blood-based tests for cancer and other conditions[3].","David Brunel, Heinrich Röthlingshöfer, Robert Wicke",Louisville,CO,"Louisville, CO","919 West Dillon Road, Louisville, CO 80027, United States",,,Unknown,Not found,3,Series A → Series B → Series C,Series C,Unknown,2010,2010,15,6,Domain Associates,"Domain Associates, Latterell Venture Partners, Prolog Ventures, Versant Ventures, First Analysis, Highland Capital Partners","Domain Associates, Latterell Venture Partners, Prolog Ventures, Versant Ventures, First Analysis, Highland Capital Partners",,No,"Biotech, Diagnostics, Healthcare",B2B Diagnostics,Growth,Biotech,Healthcare Providers,High
Bitsbox,https://www.bitsbox.com,"Colorado-based software startup, portfolio company of Rockies Venture Club","Scott, Aidan",Boulder,CO,"Boulder, CO",Not found,,,Unknown,Not found,0,Unknown,Unknown,Unknown,Unknown,Not found,-1,1,Rockies Venture Club,Rockies Venture Club,Rockies Venture Club,,Yes,"Education, Software, Kids Tech",Subscription,Early Growth,Software Development,Consumer,High
Blackpoint Cyber,https://www.blackpointcyber.com,Cybersecurity company delivering managed detection and response services to protect organizations from cyber threats[3].,Jon Murchison,Denver,CO,"Denver, CO","1099 18th Street, Suite 3050, Denver, CO 80202",,,$203M,$203M,3,Early Round → Series B → Series C,Series C,$190M,2023-06,2023-06,2,7,"Bain Capital Tech Opportunities, Adelphi Capital, Telecom Ventures","Bain Capital Tech Opportunities, Accel, Adelphi Capital Partners, Telecom Ventures, Pelican Ventures, WP Global Partners, Maryland Venture Fund","Bain Capital Tech Opportunities, Accel, Adelphi Capital Partners, Telecom Ventures, Pelican Ventures, WP Global Partners, Maryland Venture Fund",Accel,No,"Cybersecurity, Managed Services",B2B SaaS,Growth,Cybersecurity,Enterprise,High
Bluestaq,https://www.bluestaq.com,"Develops advanced software systems for government and commercial clients, specializing in data management and integration; recognized as an emerging tech startup in Colorado Springs[6].","Dr. Seth Harvey, Dr. Rebecca Decker, Andy Hofle",Colorado Springs,CO,"Colorado Springs, CO","2 North Cascade Avenue, Suite 100, Colorado Springs, Colorado 80903, United States",,,$50M,$50 million,3,Early Funding → Private Equity → Strategic Investment,Private Equity,$50M,2025,2025,0,2,"One Bow River, The O'Neil Group","One Bow River, The O'Neil Group, Various/Unclear","One Bow River, The O'Neil Group",,No,"Software, Data Management, Integration",B2B SaaS,Early Growth,Data Integration,"Government, Commercial",High
Bobo’s,https://eatbobos.com,"Producer of wholesome oat bars and snacks, emphasizing simple ingredients and healthy eating[1][2][3][5].",Beryl Stafford,Boulder,CO,"Boulder, CO","6325 Gunpark Dr, Suite B, Boulder, Colorado 80301",,,$17M,$17 million,3,Series A → Series B → Series B - II,Series B - II,$5.5M,2019-07,2019-07,6,4,"BIGR Ventures, Ridgeline Ventures, Boulder Food Group","BIGR Ventures, Range Light LLC, Ridgeline Ventures, Boulder Food Group","BIGR Ventures, Ridgeline Ventures, Boulder Food Group, Range Light LLC",,Yes,"Food & Beverage, Consumer Goods, Health & Wellness",Consumer,Growth,,Consumer,High
Bond Pet Foods,https://www.bondpets.com,Biotechnology startup creating animal-free pet food proteins using cellular agriculture; received seed funding in the last five years[9].,"Rich Kelleman, Pernilla Audibert",Boulder,CO,"Boulder, CO","3200 Carbon Place, Suite 104, Boulder, Colorado 80301, United States",https://www.linkedin.com/company/bondpetfoods,,$18.7M,$18.7 million,3,Seed → Convertible Note → Series A,Series A,$17.5M,2022-06,2022-06,3,10,"ADM Ventures, KBW Ventures, Lever VC","Lever VC, KBW Ventures, ADM Ventures, Cavallo Ventures, Genoa Ventures, Thia Ventures, iSelect Fund, Stage 1 Fund, Lifely VC, Satori Capital, Andante Asset Management","Lever VC, KBW Ventures, ADM Ventures, Cavallo Ventures, Genoa Ventures, Thia Ventures, iSelect Fund, Stage 1 Fund, Lifely VC, Satori Capital, Andante Asset Management",,No,"Biotechnology, Food Technology, Sustainable Agriculture",Consumer,Early Growth,Biotech,Consumer,High
Bonusly,https://bonus.ly,Employee recognition and rewards platform designed to improve workplace engagement and culture[1][11].,"Raphael Crawford-Marks, John Quinn",Boulder,CO,"Boulder, CO","2755 Canyon Blvd, Boulder, Colorado",,,$31.4M,$31.4 million,5,Seed → Seed → Seed → Series A → Series B,Series B,$18.9M,2023-02,2023-02,2,4,"Access Venture Partners, Ankona Capital Partners, Bloomberg Beta, FirstMark","Access Venture Partners, Ankona Capital Partners, Bloomberg Beta, FirstMark","Access Venture Partners, Ankona Capital Partners, FirstMark Capital, Bloomberg Beta",,Yes,"Technology, HR Tech, SaaS",B2B SaaS,Growth,HR Tech,"Enterprise, SMB",High
Boom Supersonic,https://boomsupersonic.com,Develops supersonic commercial aircraft aiming to make high-speed air travel mainstream[3].,Blake Scholl,Centennial,CO,"Centennial, CO","6803 S. Tucson Way, Centennial, CO 80112-3924",,,$700M,Over $700 million,10,Early Rounds → Series A → Series A-1 → Series C → Venture Round → Grant → Debt Financing,Series A,$100M,2024,2024,1,8,"NEOM Investment Fund, Prime Movers Lab, Celesta Capital, 8VC, RRE Ventures","NEOM Investment Fund, Momentum Ventures, Y Combinator, 8VC, Japan Airlines, United States Air Force, Prime Movers Lab, Celesta Capital, RRE Ventures","NEOM Investment Fund, Momentum Ventures, Y Combinator, 8VC, Japan Airlines, United States Air Force",,No,"Aerospace, Transportation, Aviation",Hardware,Growth,"Aerospace Technology, Supersonic Travel",Commercial Aviation,High
Boulder Ventures,https://www.boulderventures.com,"Focuses on information technology and biotechnology companies, providing capital to high-growth businesses in Colorado’s Front Range and the Mid-Atlantic region[3].","Kyle Lefkoff, Larry Macks, Josh Fidler",Boulder,CO,"Boulder, CO","1941 Pearl Street, Suite 300, Boulder, CO 80302",https://www.linkedin.com/company/boulder-ventures-ltd/,,$371.1M,$371.1M,4,Series A → Series B → Series C → Boulder Ventures VIII,Boulder Ventures VIII,$58M,2022-11,2022-11,3,3,Boulder Ventures,"Cisco Investments, Grayhawk Capital, Trilogy Equity Partners","Cisco Investments, Grayhawk Capital, Trilogy Equity Partners",,Yes,"Information Technology, Biotechnology",Venture Capital,Growth,"Information Technology, Biotechnology",High-Growth Businesses,High
Brandzooka,https://www.brandzooka.com,"Self-serve digital advertising platform; founded by Aquiles La Grave, with investors such as Boulder Ventures and Baseline Ventures[5].","Kelly Dotseth, Aquiles La Grave, Alex Bogusky",Boulder,CO,"Boulder, CO","1900 9th St, Suite 300, Boulder, Colorado 80302, United States",https://www.linkedin.com/company/brandzooka/,https://www.crunchbase.com/organization/brandzooka#/entity,$10.1M,$10.1 million,2,Seed → Series A,Series A,$5.6M,2020,2020,5,5,"Mark IV Capital, Lagomaj Capital, Rockies Venture Fund, Batshit Crazy Ventures, Sweet Moose Enterprises","Boulder Ventures, Baseline Ventures, Mark IV Capital, Lagomaj Capital, Rockies Venture Fund, Batshit Crazy Ventures, Sweet Moose Enterprises","Mark IV Capital, Lagomaj Capital, Rockies Venture Fund, Batshit Crazy Ventures, Sweet Moose Enterprises",,Yes,"Digital Advertising, Technology, SaaS",B2B SaaS,Early Growth,Advertising Technology,Brands and Agencies,High
Brightwave,https://brightwave.io,"AI-powered platform for automating and optimizing business processes; raised Series A ($15M, 2024)[3].","Mike Conover, Brandon Kotara",Boulder,CO,"Boulder, CO","1007 Pearl Street, Suite 200, Boulder, Colorado, 80302",https://www.linkedin.com/company/brightwave-io/about/,https://www.crunchbase.com/organization/brightwave-io,$21M,$21M,2,Seed → Series A,Series A,$15M,2024-10,2024-10,1,4,Decibel Partners,"Decibel Partners, Point72 Ventures, Moonfire Ventures, OMERS Ventures","Decibel Partners, Point72 Ventures, Moonfire Ventures, OMERS Ventures",,No,"AI, Business Process Automation",B2B SaaS,Early Growth,AI/ML,Enterprise,High
Buderflys,https://buderflys.com,Audio technology startup developing innovative earbuds designed for comfort and sound quality; recently funded at the seed stage[11].,Shea Gerhardt,Denver,CO,"Denver, CO","560 N Marion Street, Denver, Colorado 80218, United States",https://www.linkedin.com/company/buderflys-technologies-inc/,,$2.75M,"$2,750,000",1,Seed,Seed,$2.75M,2018,2018,7,0,,,,,No,"Audio Technology, Consumer Electronics",Hardware,Seed,Audio Technology,Consumer,High
BurstIQ,https://www.burstiq.com,"Offers blockchain-based data solutions for healthcare, enabling secure data exchange and analytics; founded by technologists and has received investor funding[4].","Frank Ricotta, Brian Jackson",Englewood,CO,"Englewood, CO","9635 Maroon Circle, Suite 310, Englewood, CO 80112, United States",,,$10.8M,$10.8 million,4,Seed → Seed → Series A → Venture,Venture,$605.6K,2022-06,2022-06,3,1,Elsewhere Partners,Elsewhere Partners,Elsewhere Partners,,No,"Healthcare, Blockchain, Data Solutions",B2B SaaS,Early Growth,"Blockchain, Data Management, AI",Enterprise,High
Caliola Engineering,https://www.caliola.com,"Colorado Springs-based provider of mission-critical communications solutions for defense and government, with 71% revenue growth[5].","Jennifer Halford, Tom Halford",Colorado Springs,CO,"Colorado Springs, CO","106 Sunbird Cliffs Lane, Colorado Springs, CO 80919",https://www.linkedin.com/company/caliola,,$2.4M,$2.4 million,1,Seed,Seed,$2.4M,2024-01,2024-01,1,2,"CyberTech|X Accelerator, The Catalyst Accelerator Colorado Springs","CyberTech|X Accelerator, The Catalyst Accelerator Colorado Springs","CyberTech|X Accelerator, The Catalyst Accelerator Colorado Springs",,Yes,"Defense, Communications, Technology",B2B Services,Seed,"Military Communications, Cybersecurity",Government,High
Carbon America,https://carbonamerica.com,Carbon America focuses on carbon capture and sequestration technologies to help industries reduce their carbon footprint.,"Brent Lewis, Scott Frazier, Alex Lau, Tom Rand",Arvada,CO,"Arvada, CO","5525 W 56th Ave, Suite 200, Arvada, Colorado, 80002, United States",,,$30M,$30 million,1,Series A,Series A,$30M,2021-12,2021-12,4,0,Not publicly disclosed,,,,No,"CleanTech, Carbon Capture, Environmental Services",B2B,Early Growth,CleanTech,Industries,High
Caruso Ventures,https://dan-caruso.com/caruso-ventures/,"A family office venture fund led by Dan Caruso, investing in tech-enabled companies led by high-performing CEOs, with a focus on Colorado-based startups.","Dan Caruso, Cindy Caruso",Boulder,CO,"Boulder, CO","3333 23rd St, Boulder, CO",https://www.linkedin.com/in/kylieheatherdoherty/,,Unknown,Not found,4,Seed → Series A,Series A,$13M,2023,2025-03,2,3,"Caruso Ventures, Cerberus Capital Management, In-Q-Tel","Caruso Ventures, Cerberus Capital Management, In-Q-Tel, Media Empire Ventures","Cerberus Capital Management, In-Q-Tel, Media Empire Ventures",,Yes,"Technology, Venture Capital, Startups",Venture Capital,Early Growth,Tech-enabled companies,Startups,High
Cheddar Up,https://www.cheddarup.com,"Provides a platform for groups and organizations to collect payments and information online, simplifying group management and fundraising. Founded by Nichole Montoya and Lindsay Duran.","Nichole Montoya, Molly DiCarlo",Denver,CO,"Denver, CO","2696 S Colorado Blvd, Suite 270, Denver, Colorado 80222, United States",,,$2.24M,$2.24 million,3,Seed → Series A → Other rounds,Series A (or Series Unknown),$1.2M,2017-12,2017-12,8,4,"500 Accelerator, Stout Street Capital","500 Accelerator, Stout Street Capital, Kickstart, Foundry Group","Stout Street Capital, Kickstart, 500 Accelerator, Foundry Group",,Yes,"FinTech, SaaS, Payments",B2B SaaS,Early Growth,Payments Technology,"Consumer, Non-profits",High
Cleerly,https://www.cleerlyhealth.com,"Uses AI and advanced imaging to enable personalized precision heart health diagnostics and care, focusing on cardiovascular disease prevention and management[5][1].",James K. Min,Denver,CO,"Denver, CO","1099 18th St #2860, Denver, Colorado, United States",,,$386.5M,$386.5 million,4,Series A → Series B → Series C → Series C Extension,Series C Extension,$106M,2024-12,2024-12,1,9,"Fidelity, T. Rowe Price, Insight Partners","Insight Partners, Battery Ventures, Fidelity, T. Rowe Price, Vensana Capital, LRVHealth, New Leaf Venture Partners, DigiTx Partners, American College of Cardiology, Cigna Ventures","Insight Partners, Battery Ventures, Fidelity, T. Rowe Price, Vensana Capital, LRVHealth, New Leaf Venture Partners, DigiTx Partners, American College of Cardiology, Cigna Ventures",,No,"Healthcare, AI, Medical Imaging",B2B SaaS,Growth,"AI/ML, Healthcare Technology",Healthcare Providers,High
